set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,2,0.000,0.000,296,0.000,0.000,0.000, 12.29,  Inf,0.000,  3,-75,30,
,,,,,,0.000,0.000,  8.30, 7.69,0.000, -6,-24,27,
,,,,,,0.000,0.000,  8.08, 7.52,0.000, -3,-39,21,
,,0.000,0.004,21,0.001,0.000,0.013,  5.43, 5.24,0.000,  0, 33,21,
